Perguntas,Respostas
"Quem gerencia o benefício Transporte Fretado?","Recursos Humanos."
"Quem gerencia o processo de Transporte Fretado?","FCM2-Ct."
"Quem pode usar o Transporte Fretado?","Exclusivo colaborador bosch cadastrado no Transporte Fretado, (não cadastrado caracteriza como caronista)."
"Quem não pode usar o Transporte Fretado?","Terceiros, visitantes e colaborador Bosch não cadastrado no Transporte Fretado."
"Quando o usuário Bosch cadastrado não poderá usar o Transporte Fretado?","Colaboradores em férias ou afastados."
"Tendo vaga no Transporte Fretado o terceiro poderá usar ou continuar usando?","Não. Exclusivo para colaboradores Bosch cadastrados no Transporte Fretado."
"O novo colaborador Bosch, vai ter garantido vaga no Transporte Fretado?","Todos os colaboradores novos ou antigos para utilizar o Transporte Fretado, serão analisados os endereços informados via e-mail e confrontado com as rotas existentes. O líder receberá o comunicado atende ou não atende, conforme padrão atual RBLA."
"Como eu conhecerei os padrões do Transporte Fretado?","Informação via RH (contratação) ou comunicação via Líder imediato"
"Como posso consultar as rotas e horários?","(external.ademir.crabios@br.bosch.com) e (roberto.camargo@br.bosch.com)."
"Como posso consultar os cadastros e atualizações?","(external.ademir.crabios@br.bosch.com) e (roberto.camargo@br.bosch.com)."
"Cadastramento ou descadastramento como proceder?","O líder deve solicitar/informar a demanda via e-mail para: (external.ademir.crabios@br.bosch.com) e (roberto.camargo@br.bosch.com).  "
"Como irá funcionar o aplicativo e o cartão de embarque?","Aplicativo: Informações do veículo Transporte Fretado em tempo real via APP celular.  Cartão de embarque: o usuário do Transporte Fretado deve realizar a leitura do cartão no dispositivo do veículoFretado todos os dias no embarque. (residência/Bosch e ou Bosch/residência)."
"Quem vai ter acesso ao aplicativo e cartão de embarque?","Usuário cadastrado no Transporte Fretado conforme orientações da liderança e termo de aceito."
"Perdi o cartão de embarque ou esqueci, poderei embarcar no Transporte Fretado?","Sim, o motorista vai anotar o nome e EDV e relatar o fato para a gestão do Transporte Fretado."
"Existe critérios para meu cadastro no Transporte Fretado seja cancelado?","Sim existem, baixa adesão e ou não utilizar o Transporte Fretado."
"Quais são os critérios para meu cadastro no Transporte Fretado seja cancelado?","Baixa adesão e ou não utilizar o Transporte Fretado."
"Qual é a frequência mínima que preciso ter para continuar a usar o Fretado?","Aceitável mínimo de 80% de frequência base dias trabalhado/mês."
"Vai existir um monitoramento da ocupação e frequência da linha?","Sim. Controle de embarque via cartão."
"Uso o Transporte Fretado, mas não tenho cadastro, preciso me cadastrar?","Exclusivo colaborador bosch cadastrado no Transporte Fretado, (não cadastrado caracteriza como caronista)."
"O colaborador que pretende utilizar o Transporte Fretado pode se cadastrar?","Exclusivo colaborador bosch cadastrado no Transporte Fretado, (não cadastrado caracteriza como caronista)."
"Caso de lotação máxima, se eu for um novo solicitante, como serei atendido?","Deverá aguardar vaga, favor procure sua liderança ou RH."
"Mudei de turno e não tem rota para mim, o que devo fazer?","Deverá aguardar vaga, favor procure sua liderança ou RH."
"Qual é o padrão de distância base endereço da residência ao ponto de embarque do Fretado?","Padrão atual da América Latina é de até 1Km para todos os usuários cadastrados."
"Posso me cadastrar na ida e ou volta em linhas diferentes?","Sim, porém tem que estar no cadastrado as informações. (não cadastrado caracteriza como caronista)."
"Caso eu mude de endereço, devo atualizar o cadastro?","Sim, (não cadastrado caracteriza como caronista)."
"Por que o Fretado chega 30 minutos antes?","Para o colaborador realizar o desjejum."
"Tenho restrição de locomoção?","Caso especiais serão tratados excepcionalmente."
"Como funciona a o Transporte Fretado para o Senai?","Mantém padrão atual 2 ônibus ida e volta."
"Como o Transporte Fretado funciona para colaboradores com contrato preponderante como proceder?","Conforme padrão RBLA, colaborador deverá ter cadastro, entrar em contato previamente para consulta de rota, ocupação, local de embarque e horário. Caso tenha vaga, poderá utilizar o Fretado. Contatos: (external.ademir.crabios@br.bosch.com) e (roberto.camargo@br.bosch.com)."
